exp,run_id,status,source,pool,seed,batch,legacy,smoke,git,rank_IC,IC,rankic_mean,p_le0,start_time
legacy_roll10b_zz500_w00,0502338333b647e7945685ffb424683b,FINISHED,legacy_backfill,,,,true,,,,-0.036839779251074366,,,1787324581365
legacy_roll10c_hs300_w00,f11460d7ca3a40899c2884b491ec7f91,FINISHED,legacy_backfill,,,,true,,,,0.05356458590592712,,,1787324581749
legacy_roll10c_hs300_w01,cb1799de545b41cdb6ebfb08a82019ef,FINISHED,legacy_backfill,,,,true,,,,0.036340539109409396,,,1787324582119
legacy_roll10c_hs300_w02,2063a8604b2642ac91e5ce1e115c67c8,FINISHED,legacy_backfill,,,,true,,,,-0.016887013153387108,,,1787324582485
legacy_roll10c_hs300_w03,a209351964b74eb9a5c438573f5a72d8,FINISHED,legacy_backfill,,,,true,,,,0.00949408584581703,,,1787324582975
legacy_roll10c_hs300_w04,4c4d0d857d9c47c4a005c4f6f68545c1,FINISHED,legacy_backfill,,,,true,,,,0.0851386324926015,,,1787324583394
legacy_roll10c_zz500_w00,4857e620d19848b3a399d6fbf15a608a,FINISHED,legacy_backfill,,,,true,,,,-0.036839779251074366,,,1787324583772
legacy_roll10c_zz500_w01,48e6f3320c3249e29b5a7ae5e2640981,FINISHED,legacy_backfill,,,,true,,,,0.03983838056492946,,,1787324584142
legacy_roll10c_zz500_w02,a5446aa4548943fb9031c94f594157be,FINISHED,legacy_backfill,,,,true,,,,0.0022139116008057075,,,1787324584549
legacy_roll10c_zz500_w03,dc7dbc61f45d4b13a1f1ba6afc908c89,FINISHED,legacy_backfill,,,,true,,,,-0.007057993913651956,,,1787324584941
legacy_roll10c_zz500_w04,224fc75578c841f584fa05f929551480,FINISHED,legacy_backfill,,,,true,,,,0.05384979540445079,,,1787324585314
legacy_w10d21_hs300,66f961dfa635490a88a5b99616ffcfce,FINISHED,legacy_backfill,hs300,,,true,,,,,,,1787324491330
legacy_w10d21_zz500,50d0049647794587ab017e5e2cf703ec,FINISHED,legacy_backfill,zz500,,,true,,,,,,,1787324491623
linear_workflow,82fcebf891cd44338a86fc0d3287454f,FINISHED,,,,,,,,,0.013312202350364842,,,1786884945914
linear_workflow2,4f12a13c79fa4cc6b7471bbba4a6a060,FAILED,,,,,,,,,,,,1786885255702
linear_workflow2,674852b72d224cbeb843d5144c149137,FINISHED,,,,,,,,,-0.005012055783913555,,,1786885276974
predbump_e00_robust_1d_hs300,a2e6ff0fab404d5e80901f064884fe1c,FINISHED,,,,,,,,,-0.0019253690268763652,,,1787229253429
predbump_e01_off_1d_hs300,2b51318b4db04abd85bc66185796dfdd,FINISHED,,,,,,,,,0.0037465407621909176,,,1787229127269
predbump_e01_off_1d_zz500,1e6fb4dd3c7c4c2e9b6b9033cf3bad6a,FINISHED,,,,,,,,,-0.005455895860735645,,,1787229620778
predbump_e02_off_5d_hs300,dd3276dc1ab9476e8db4b4d307a61660,FINISHED,,,,,,,,,0.004868935490640613,,,1787229350481
predbump_e02_off_5d_zz500,8c40908ac4b44ea09bd3d0918457fd84,FINISHED,,,,,,,,,-0.0020624694775372245,,,1787229759687
predbump_e03_off_10d_hs300,d0032ff104f34cd29275c3bbee4ede78,FINISHED,,,,,,,,,0.002337039101014838,,,1787229430067
predbump_e03_off_10d_zz500,cebb9c36e98146d4a15758e72783cc55,FINISHED,,,,,,,,,0.004321185133959686,,,1787229931291
predbump_e04_off_20d_hs300,dc2d09f1588940f4b0ff8a0cc42c5d2e,FINISHED,,,,,,,,,-0.006839202642435919,,,1787229510859
predbump_e04_off_20d_zz500,e4411b33c79c4e17ac938420acf2eb87,FINISHED,,,,,,,,,0.0007680479533291418,,,1787230156131
predbump_e05_off_1d_dart_hs300,b8d453269d5b4a3eae47d8b7eeacd315,RUNNING,,,,,,,,,,,,1787230333448
predbump_e05_off_1d_dart_hs300,a218a9fa7468423ba1bb4e2e9d80a8ab,FINISHED,,,,,,,,,0.00758381641374644,,,1787232949112
predbump_e06_off_1d_small_hs300,164a39700da44ae492447c1ff3717a9f,FINISHED,,,,,,,,,0.006236616789587429,,,1787231844241
predbump_e071_off_1d_seed100_hs300,93c06cf0387543609cc216b8c1c55bc4,FINISHED,,,,,,,,,-0.000261349982903797,,,1787232039236
predbump_e072_off_1d_seed200_hs300,191164694d3f420eb4721d46b6116088,FINISHED,,,,,,,,,0.0023604833464394657,,,1787232175267
predbump_e073_off_1d_seed300_hs300,faf0e07111994d358e29f226e85c4d38,FINISHED,,,,,,,,,0.000369559750463407,,,1787232248304
predbump_e081_off_10d_seed100_hs300,0d1cf8e1569f44b5b7e3b1f310aed3dc,FINISHED,,,,,,,,,-0.0002857998562243595,,,1787232332528
predbump_e081_off_10d_seed100_zz500,0644a612959245278cb0ac39c9a1d53d,FINISHED,,,,,,,,,0.004546110775805706,,,1787232423897
predbump_e082_off_10d_seed200_hs300,7901f245327d4734a0e4842711673c1d,FINISHED,,,,,,,,,-0.0037653431560722745,,,1787232549719
predbump_e082_off_10d_seed200_zz500,02957e5dd455475fb94f8d4de8848fa0,FINISHED,,,,,,,,,0.002977805866081282,,,1787232622891
predbump_e083_off_10d_seed300_hs300,f5a2185b0a9b4990b40d2379978b3120,FINISHED,,,,,,,,,-0.00552999404656397,,,1787232739242
predbump_e083_off_10d_seed300_zz500,98759703809046338ca239c43471e8c4,FINISHED,,,,,,,,,0.00616313997631745,,,1787232828852
predbump_e11_off_1d_21_hs300,a2f5d2141cc748f9ac228d72077cc6e8,FINISHED,,,,,,,,,0.009107857165230384,,,1787237290220
predbump_e11_off_1d_21_zz500,425ce7534f8f458eaf7faa890dd8e759,FINISHED,,,,,,,,,-0.0009221989627301187,,,1787237404211
predbump_e12_off_10d_21_hs300,ced5395164074dfa96c0b36dee44c816,FINISHED,,,,,,,,,0.001956599798981413,,,1787237560944
predbump_e12_off_10d_21_zz500,44d307ad56354cfca400c0a89825a463,FINISHED,,,,,,,,,0.006561562272927124,,,1787237666036
predbump_e13_off_20d_21_hs300,2127119f06cb48749456b02bc9b79815,FINISHED,,,,,,,,,-0.007178919736510117,,,1787237814096
predbump_e13_off_20d_21_zz500,87391b8cc41048ea95010baae09e3590,FINISHED,,,,,,,,,-0.006895639276876838,,,1787237924672
predbump_e14_vol10d_hs300,26cd035b994844dda4d12d42548cbd1d,FINISHED,,,,,,,,,-0.0007707838239062733,,,1787238061775
predbump_e14_vol10d_zz500,3402dfa9928f4bc0b86e5ec37cac54b2,FINISHED,,,,,,,,,0.013296808787724683,,,1787238182978
